nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy
       307, 4.499999767E-01,-2.346500000E-08, 1.849999973E-01, 1.437085053E-01
       308, 7.499999865E-01,-2.346500000E-08, 1.849999973E-01, 1.636895846E-01
       309, 1.049999957E+00,-2.346499975E-08, 1.849999973E-01, 1.445747914E-01
       310, 1.499999992E+00,-2.346499995E-08, 1.849999973E-01, 1.100380424E-01
       311, 2.099999885E+00,-2.346499994E-08, 1.849999973E-01, 7.998705666E-02
       312, 3.000000046E+00,-2.346500018E-08, 1.849999987E-01, 5.835773356E-02
       313,-1.500000037E-01,-2.346499989E-08, 1.924999974E-01, 1.668995715E-02
       314, 3.000000109E-01,-2.346500034E-08, 1.925000001E-01, 1.077745619E-01
       315, 4.499999767E-01,-2.346500000E-08, 1.924999972E-01, 1.466158340E-01
       316, 7.499999865E-01,-2.346500000E-08, 1.924999972E-01, 1.642196160E-01
       317, 1.049999957E+00,-2.346499987E-08, 1.924999972E-01, 1.442817151E-01
       318, 1.499999992E+00,-2.346499998E-08, 1.924999972E-01, 1.095014771E-01
       319, 2.099999885E+00,-2.346499997E-08, 1.924999972E-01, 7.938933292E-02
       320, 3.000000046E+00,-2.346500017E-08, 1.924999986E-01, 5.765265696E-02
